FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,250,0,0,0,1,0,0,0
Charlie,Adam,MID,STK,4700000,1,1,0.041666667,8.87E-09,2.13E-07,0,3036,2,1,0,0,0,0,0,0.2,114,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.1,720,0,109,0,0,51,60,0,0,-4
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.78E-07,5.56E-07,0,9742,0,2,0,0,0,0,0,0.6,82,-1,0,3,1,0,0,0,0,0,0,0,0,0,629,0,0,0,0,122,1,0,0,6
,Adrian,GLK,WHU,5000000,8,27,3.4,6.80E-07,5.40E-06,0,55470,0,17,0,28,0,0,0,5.4,2162,0,0,27,0,0.9,0,4.3,3,0,2,0,0,2.9,48234,0,356,0,0,720,2662,0,0,147
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,14,-1,0,0,1,0,0,0,0,0,0,0,0,0,114,0,270,0,0,0,13,0,0,0
Benik,Afobe,FWD,BOU,5600000,1,4,0.166666667,2.98E-08,7.14E-07,0,19173,0,0,0,0,0,0,0,0.7,554,-4,0,4,4,0.2,0,1,0,0,0,0,0,0.3,3353,0,146,0,0,30,336,0,0,10
Sergio,Aguero,FWD,MCI,13100000,-1,38,6.3,4.81E-07,2.90E-06,0,1296003,0,7,0,0,0,5,0,2.9,58759,1,0,38,-1,0.4,1,4.7,9,0,0,0,0,44.4,1319477,0,789,0,2,474,37873,0,0,149
Ola,Aina,DEF,CHE,4700000,1,1,0.041666667,8.87E-09,2.13E-07,0,3949,0,0,0,0,0,0,0,0.2,78,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.1,299,0,0,0,0,9,23,0,0,3
Nathan,Ake,DEF,BOU,4300000,0,2,0.083333333,1.94E-08,4.65E-07,0,35021,0,2,0,0,0,0,0,0.5,1733,-2,0,2,2,0,0,0,0,0,0,0,0,1,4172,0,232,0,0,15,180,0,0,6
Chuba,Akpom,FWD,ARS,5200000,0,0,0,0,0,0,7869,0,0,0,0,0,0,0,0,199,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1031,0,0,0,0,0,17,0,0,0
Marc,Albrighton,MID,LEI,5200000,2,18,2.6,5.00E-07,3.46E-06,0,45409,0,9,0,0,0,0,0,3.5,2362,-3,0,18,3,0.4,0,2.3,0,0,4,0,0,1,7411,0,519,0,0,513,480,0,0,68
Toby,Alderweireld,DEF,TOT,6500000,1,31,3.9,6.00E-07,4.77E-06,0,334594,0,3,0,0,0,0,0,4.8,118171,0,0,31,0,0.5,0,3,0,0,4,0,0,15.9,69112,0,598,0,0,689,817,0,0,157
