FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,250,0,0,0,4,0,0,0,Southampton,Crystal Palace,Sunderland,West Brom,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,0,54,2.8,5.95744680851064E-07,1.14893617021277E-05,0,37441,6,19,0,0,0,1,0,11.5,2085,-3,0,54,3,0.3,0,1.3,5,0,6,0,4,0.7,59788,0,109,0,1,1258,3024,0,0,204,Middlesbrough,Man City,Chelsea,Leicester,Burnley,4.4,0,2.1,2.1,1.8,1.9,3.4,2,2,1.7,1.9,1.7
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,10190,0,2,0,0,0,0,0,0.6,6,-1,0,3,1,0,0,0,0,0,0,0,0,0,810,0,0,0,0,122,4,0,0,6,Stoke,Man Utd,Swansea,Hull City,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4600000,0,37,0.474358974358974,1.03121516164994E-07,8.04347826086956E-06,0,107342,1,20,0,37,0,0,0,8,516,-4,0,37,4,0,0,0,3,0,3,0,0,1.7,55186,0,356,0,0,990,32,0,0,198,Chelsea,Bournemouth,Leicester,Hull City,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ibrahim,Afellay,MID,STK,5400000,1,12,0.153846153846154,2.84900284900285E-08,2.22222222222222E-06,0,1053,0,5,0,0,0,0,0,2.2,54,-1,0,12,1,0.2,0,1.3,0,0,0,0,0,0,1070,0,270,0,0,352,127,0,0,54,Middlesbrough,Man City,Chelsea,Leicester,Burnley,0.2,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Benik,Afobe,FWD,BOU,5400000,1,46,2.2,4.07407407407407E-07,8.51851851851852E-06,0,61312,0,13,0,0,0,3,0,8.4,2429,-6,1,46,6,0.2,0,1,3,0,2,0,2,0.6,55825,0,146,0,0,687,745,-1,0,133,Man Utd,West Ham,Swansea,Southampton,Liverpool,1.4,2.2,2.4,1.5,1.6,1.6,1.1,2,1.7,2.2,2.6,1.7
Sergio,Aguero,FWD,MCI,12800000,0,94,4.9,3.828125E-07,7.34375E-06,0,3044931,3,21,0,0,0,11,0,7.4,4013,-2,-1,94,2,0.2,1,3,18,0,3,0,2,25,2316089,0,789,0,4,1423,364437,1,1,329,Sunderland,Stoke,Liverpool,Arsenal,Chelsea,12.5,0,7,5.4,4.4,7.1,5.6,6.4,5.3,6,7.3,5.6
Daniel,Agyei,FWD,BUR,4500000,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,134,0,0,0,Swansea,Liverpool,Sunderland,Tottenham,Stoke,0,0,0,0,0,0,0,0,0,0,0,0
Ola,Aina,DEF,CHE,4500000,0,2,0.0256410256410256,5.6980056980057E-09,4.44444444444444E-07,0,4738,0,0,0,0,0,0,0,0.4,11,-5,0,2,5,0,0,0,0,0,0,0,0,0.1,607,0,0,0,0,10,3,0,0,6,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,CHE,3900000,0,51,0.653846153846154,1.67652859960552E-07,1.30769230769231E-05,0,406786,0,17,0,0,0,3,0,13.1,11349,-6,0,51,6,0,0,0,8,0,3,0,0,4.6,504064,0,232,0,2,735,13527,0,0,236,West Ham,Stoke,Crystal Palace,Man City,Bournemouth,0.3,0,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3
