FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,250,0,0,0,0,0,0,0,
Charlie,Adam,MID,STK,4600000,0,59,0.531531532,1.16E-07,1.28E-05,0,54573,7,23,0,0,0,1,0,12.8,0,-4,0,59,4,0,0,0,5,0,6,0,4,0.3,60731,0,109,0,1,1491,0,0,0,218,
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.78E-07,5.56E-07,0,10306,0,2,0,0,0,0,0,0.6,0,-1,0,3,1,0,0,0,0,0,0,0,0,0,883,0,0,0,0,122,0,0,0,6,
,Adrian,GLK,WHU,4600000,2,64,0.576576577,1.25E-07,1.39E-05,0,111420,1,25,0,53,0,0,0,13.9,0,-4,0,64,4,0,0,0,6,0,6,0,0,1.7,60355,0,356,0,0,1440,0,0,0,311,
Ibrahim,Afellay,MID,STK,5400000,0,15,1.3,2.41E-07,2.78E-06,0,1415,0,5,0,0,0,0,0,2.8,0,-1,0,15,1,0,0,0,0,0,0,0,0,0,1183,0,270,0,0,384,0,0,0,63,
Benik,Afobe,FWD,BOU,5300000,1,88,2.8,5.28E-07,1.66E-05,0,198000,1,24,0,0,0,6,0,16.6,0,-7,0,88,7,0,1,0,9,0,5,0,5,1.2,217579,0,146,0,1,1458,0,0,0,259,
Sergio,Aguero,FWD,MCI,12700000,16,175,5.6,4.41E-07,1.38E-05,0,3691225,4,30,0,0,0,20,0,13.8,0,-3,0,175,3,0,1,0,32,0,8,0,5,17.6,2641949,0,789,0,6,2404,0,0,1,640,
Daniel,Agyei,FWD,BUR,4500000,0,3,0.027027027,6.01E-09,6.67E-07,0,472,0,0,0,0,0,0,0,0.7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,848,0,0,0,0,25,0,0,0,6,
Ola,Aina,DEF,CHE,4500000,0,3,0.027027027,6.01E-09,6.67E-07,0,4846,0,0,0,0,0,0,0,0.7,0,-5,0,3,5,0,0,0,0,0,0,0,0,0.1,707,0,0,0,0,26,0,0,0,9,
Nathan,Ake,DEF,CHE,3900000,0,55,0.495495495,1.27E-07,1.41E-05,0,504357,1,20,0,0,0,3,0,14.1,0,-6,0,55,6,0,0,0,8,0,3,0,1,6.1,662287,0,232,0,2,834,0,0,0,267,
Chuba,Akpom,FWD,ARS,5100000,0,0,0,0,0,0,8991,0,0,0,0,0,0,0,0,0,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,1395,0,0,0,0,0,0,0,0,0,
Marc,Albrighton,MID,LEI,5000000,2,95,2.9,5.80E-07,1.90E-05,0,98080,5,47,0,0,0,2,0,19,0,-5,0,95,5,0,0,0,3,0,8,0,6,2.5,131785,0,519,0,0,2412,0,0,0,468,
Toby,Alderweireld,DEF,TOT,6400000,8,120,4,6.25E-07,1.88E-05,0,658121,1,17,0,0,0,1,0,18.8,0,-1,0,120,1,0,0,0,4,0,14,0,0,9.6,160957,0,598,0,0,2601,0,0,0,611,
Trent,Alexander-Arnold,MID,LIV,4300000,0,8,0.072072072,1.68E-08,1.86E-06,0,1947,0,2,0,0,0,0,0,1.9,0,-2,0,8,2,0,0,0,0,0,0,0,0,0,1988,0,0,0,0,167,0,0,0,32,
Joe,Allen,MID,STK,4900000,2,118,3.3,6.73E-07,2.41E-05,0,1158239,9,49,0,0,0,6,0,24.1,0,-1,0,118,1,0,0,0,10,0,10,0,3,6.4,1309096,0,132,0,1,2930,0,0,0,525,
Bamidele,Alli,MID,TOT,9100000,11,225,6.1,6.70E-07,2.47E-05,0,1086898,4,22,0,0,0,18,0,24.7,0,6,0,225,-6,0,0,0,17,0,17,0,11,32.3,1996300,0,666,0,4,3036,0,0,0,679,
Ryan,Allsop,GLK,BOU,4000000,3,3,0.027027027,6.76E-09,7.50E-07,0,1668,0,1,0,4,0,0,0,0.8,0,0,0,3,0,0,0,0,0,0,0,0,0,0.1,3634,0,0,0,0,90,0,0,0,17,
Marcos,Alonso,DEF,CHE,6900000,2,177,5.7,8.26E-07,2.57E-05,0,401236,2,19,0,0,0,6,0,25.7,0,9,0,177,-9,0,0,0,11,0,15,0,5,16,1016747,0,0,0,3,2693,0,0,0,675,
Daniel,Amartey,MID,LEI,4300000,1,53,2.2,5.12E-07,1.23E-05,0,27227,3,35,0,0,0,1,0,12.3,0,-2,0,53,2,0,0,0,3,0,4,0,1,0.2,28208,0,23,0,1,1673,0,0,0,262,
Jordi,Amat,DEF,SWA,3800000,0,21,1.2,3.16E-07,5.53E-06,0,513326,5,36,0,0,0,0,0,5.5,0,-2,0,21,2,0,0,0,0,0,2,0,0,7.4,439690,0,63,0,0,1409,0,0,0,237,
Nordin,Amrabat,MID,WAT,5000000,1,65,2.2,4.40E-07,1.30E-05,0,17333,4,51,0,0,0,0,0,13,0,0,0,65,0,0,0,0,5,0,4,0,3,0.1,16321,0,74,0,0,2091,0,0,0,263,
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,2564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858,0,0,0,0,0,0,0,0,0,
,Angelino,DEF,MCI,4300000,0,0,0,0,0,0,2844,0,0,0,0,0,0,0,0,0,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,987,0,0,0,0,0,0,0,0,0,
Victor,Anichebe,FWD,SUN,4300000,0,48,0.432432432,1.01E-07,1.12E-05,0,338402,2,21,0,0,0,3,0,11.2,0,-2,0,48,2,0,0,0,5,0,3,0,1,2.2,414309,0,0,0,1,1219,0,0,0,166,
Michail,Antonio,MID,WHU,6700000,0,132,4.6,6.87E-07,1.97E-05,0,1375903,4,43,0,0,0,9,0,19.7,0,-3,0,132,3,0,0,0,8,0,7,0,8,5.3,1367226,0,452,0,3,2433,0,0,1,410,
Ikechi,Anya,MID,WAT,4500000,0,1,1,2.22E-07,2.22E-07,0,6143,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,398,0,176,0,0,10,0,0,0,3,
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0,0,0,0,5936,3,9,0,0,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,0,0,0,0.1,5625,0,0,0,0,258,0,0,0,34,
